account_id,trustline_status,balance,traded_in,trades_total,trades_as_base,trades_as_counter,snapshot_min_ledger,snapshot_max_ledger,methodology_version
GB7FZIUYDPOVOGCNCCKEG46MK45WPKXPXA5AWLRTTDKFCPRNPY67EILI,no trustline at pull,,2026-02 + 2026-08,254,127,127,64211133,64211152,1.0.5-draft
GB7MUAU7CWAG4QNZQXFN66UC3RXAOWACX2ZINRDFFBXKKECQJTVTA4T6,no trustline at pull,,2026-02 + 2026-08,6,4,2,64211133,64211152,1.0.5-draft
GB7QIGUVTWCJWBCZUT2VG44JDAHPUD65Q2T7MHQXYHVRAII6FNNJQVVZ,no trustline at pull,,2026-02 + 2026-08,10,8,2,64211133,64211152,1.0.5-draft
GB7SSLVEGCGO5ZNE3MZLJZI7EA7WWJ5XOL4LCFEDHNY4SXT46CJQID2G,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GBA6M5YOKJFZAAPXCKYTNAUHV2VLYQF6FDSORHUCBJHH2URSTQQOCIO5,no trustline at pull,,2026-08,1,1,0,64211133,64211152,1.0.5-draft
GBAMEXG5GVDFPEYKW3BLOZHZC2QN7K6DI5DN6EHP5WX4U3AZQENSMECJ,no trustline at pull,,2026-02,667,431,236,64211133,64211152,1.0.5-draft
GBAOOIWRLTMHPN4TSVGN4WUSJP2JIGNNSIAJ6N6IMG46IAN4ZJP2EXEG,no trustline at pull,,2026-02,2,1,1,64211133,64211152,1.0.5-draft
GBB5EWJZNC7DUS47K4MBIK7AN4ZEZFVBBTDRRWZB4VSMIM3VSRXWRBYK,no trustline at pull,,2026-02 + 2026-08,4,2,2,64211133,64211152,1.0.5-draft
GBB6JOP6QVFJ6GQFQI7MHTAGBRXDFRCMSKXEXYUE5YVMBDTNM3CED7XA,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GBBXLZQEZVMVP3NJDQIKBR2P4H2F3TVLACXLMOBCNSQ6IEPORFCJYEKG,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GBCC4DK4KJQTQ6CZVNOZTZYDHMFKZMRSXLE2JN3NWBBGEAUKZHUTDDXA,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GBCDDLOJGV7SSZVWCW4IYRHFVZZD4OXKFT5CLM7ZWLQD6PGU2DYHEKCT,no trustline at pull,,2026-02,1,1,0,64211133,64211152,1.0.5-draft
GBDA4CVFJZDXEEZDFXCUBGMWYTNDKMYROIF2MBL4A3BCFCA5CT42YKZB,no trustline at pull,,2026-08,2,2,0,64211133,64211152,1.0.5-draft
GBDKKXFWJPVNM2NTQPWRXJYIFAR6VU7Q5EIMFTMC5LUVP2SIVP6GPBAT,no trustline at pull,,2026-02 + 2026-08,8,6,2,64211133,64211152,1.0.5-draft
